EmployeeID,Age,Gender,Department,JobRole,Location,EducationLevel,HireDate,YearsAtCompany,YearsOfExperience,MonthlySalaryAED,JobSatisfaction,PerformanceRating,Overtime,WorkArrangement,Attrition
EMP0049,56,Male,Finance,Finance Manager,Dubai,Diploma,2019-03-09,7.6,33,24600,3,3,Yes,On-site,No
EMP0050,38,Non-binary,Marketing,Marketing Manager,Dubai,Doctorate,2014-04-02,12.6,12,18900,4,5,No,On-site,No
EMP0051,23,Prefer not to say,Sales,Sales Analyst,Abu Dhabi,Bachelor's,2023-09-27,3.0,2,9800,4,4,Yes,On-site,No
EMP0052,37,Non-binary,Sales,Sales Executive,Dubai,Diploma,2016-08-10,10.2,10,7900,3,2,No,On-site,No
EMP0053,59,Female,Human Resources,HR Manager,Sharjah,High School,2013-08-22,13.2,34,21700,3,5,No,Hybrid,No
EMP0054,37,Non-binary,Sales,Account Manager,Dubai,Diploma,2024-12-24,1.8,11,17500,2,2,Yes,On-site,No
EMP0055,50,Male,Finance,Accountant,Sharjah,Diploma,2012-03-30,14.7,29,14700,4,4,No,Remote,No
EMP0056,25,Non-binary,Finance,Financial Analyst,Sharjah,Master's,2025-09-30,0.9,4,12400,4,4,No,On-site,No
EMP0057,49,Female,Finance,Finance Manager,Sharjah,Bachelor's,2014-01-25,12.8,28,23600,4,4,Yes,On-site,No
EMP0058,32,Female,Operations,Operations Coordinator,Abu Dhabi,Bachelor's,2021-02-28,5.6,8,8600,5,3,No,Hybrid,No
EMP0059,41,Female,IT,Software Developer,Abu Dhabi,High School,2024-06-05,2.2,15,16700,3,4,No,Remote,No
EMP0060,41,Non-binary,Finance,Accountant,Sharjah,Master's,2018-02-07,8.7,20,14100,4,1,No,On-site,Yes
EMP0061,24,Male,Marketing,Marketing Manager,Sharjah,Diploma,2025-03-12,1.5,2,15400,5,3,No,On-site,No
EMP0062,56,Non-binary,Finance,Accounts Assistant,Abu Dhabi,Master's,2024-09-23,2.0,32,13000,3,2,No,On-site,No
EMP0063,50,Prefer not to say,IT,Data Analyst,Abu Dhabi,Doctorate,2023-07-26,3.2,25,18600,5,3,No,Hybrid,No
EMP0064,39,Non-binary,Finance,Accounts Assistant,Sharjah,Doctorate,2020-04-28,6.4,13,11500,4,4,No,On-site,No
EMP0065,41,Prefer not to say,IT,IT Manager,Abu Dhabi,Diploma,2022-08-20,4.1,14,24800,4,3,No,On-site,No
EMP0066,29,Prefer not to say,IT,IT Support Specialist,Sharjah,Diploma,2023-07-28,3.2,4,9900,5,3,No,On-site,No
EMP0067,37,Non-binary,Human Resources,HR Manager,Sharjah,Master's,2013-07-08,13.3,14,17600,4,4,No,Hybrid,No
EMP0068,60,Female,Operations,Operations Coordinator,Abu Dhabi,Diploma,2021-08-27,5.1,38,13300,5,4,No,On-site,No
EMP0069,22,Male,Marketing,Marketing Analyst,Dubai,Diploma,2025-09-30,0.9,1,9400,3,3,Yes,On-site,No
EMP0070,60,Prefer not to say,Human Resources,HR Manager,Abu Dhabi,Doctorate,2021-08-02,5.2,34,21900,2,3,Yes,On-site,Yes
EMP0071,49,Prefer not to say,Sales,Sales Executive,Dubai,Diploma,2014-04-17,12.6,26,13100,5,4,No,On-site,No
EMP0072,57,Female,IT,Software Developer,Sharjah,Master's,2011-11-29,15.0,34,19500,5,4,Yes,Hybrid,No
EMP0073,59,Male,Finance,Financial Analyst,Sharjah,High School,2019-03-24,7.6,32,18800,2,3,No,Hybrid,No
EMP0074,40,Male,Marketing,Marketing Executive,Dubai,Doctorate,2017-06-08,9.4,13,10500,3,2,No,On-site,No
EMP0075,31,Male,Finance,Accountant,Sharjah,Master's,2017-12-21,8.8,8,11000,4,3,Yes,Remote,No
EMP0076,26,Non-binary,Operations,Team Leader,Dubai,Diploma,2026-02-22,0.6,0,9300,3,3,No,Hybrid,No
EMP0077,60,Prefer not to say,IT,IT Support Specialist,Dubai,Diploma,2019-09-28,7.0,35,17600,2,2,No,Remote,No
EMP0078,40,Prefer not to say,Human Resources,HR Assistant,Sharjah,Diploma,2024-03-31,2.5,16,9100,5,2,No,Hybrid,No
EMP0079,52,Non-binary,IT,IT Support Specialist,Sharjah,Bachelor's,2018-01-27,8.8,27,13800,4,3,No,On-site,No
EMP0080,38,Non-binary,Human Resources,HR Manager,Dubai,Diploma,2024-01-07,2.7,16,18200,2,3,No,Remote,Yes
EMP0081,25,Female,Operations,Operations Analyst,Abu Dhabi,Diploma,2025-12-18,0.8,0,10600,2,5,No,On-site,No
EMP0082,32,Male,Sales,Sales Analyst,Sharjah,Master's,2026-02-18,0.6,11,11000,3,4,No,On-site,No
EMP0083,25,Non-binary,Operations,Operations Coordinator,Abu Dhabi,High School,2025-06-03,1.2,1,7000,3,2,No,Remote,Yes
EMP0084,46,Male,Human Resources,HR Manager,Abu Dhabi,Doctorate,2012-04-03,14.7,22,19400,4,3,No,On-site,No
EMP0085,45,Male,Marketing,Marketing Analyst,Abu Dhabi,Master's,2015-07-11,11.3,20,14400,3,3,No,On-site,No
EMP0086,42,Prefer not to say,Sales,Sales Manager,Dubai,High School,2017-01-28,9.8,15,19000,4,3,No,On-site,No
EMP0087,48,Non-binary,Human Resources,HR Assistant,Sharjah,Master's,2018-10-07,8.0,27,10700,4,4,No,On-site,No
EMP0088,39,Non-binary,Marketing,Marketing Executive,Dubai,Bachelor's,2020-02-13,6.7,14,8700,4,3,No,On-site,No
EMP0089,48,Non-binary,Operations,Operations Analyst,Dubai,Diploma,2014-10-29,12.0,21,14600,4,4,Yes,Remote,No
EMP0090,42,Male,Finance,Accountant,Abu Dhabi,Master's,2026-07-17,0.2,19,12400,4,3,Yes,Hybrid,Yes
EMP0091,31,Female,IT,Software Developer,Sharjah,High School,2023-05-16,3.3,8,16100,4,4,Yes,On-site,No
EMP0092,48,Prefer not to say,Finance,Finance Manager,Sharjah,Bachelor's,2013-11-13,13.0,24,22800,3,4,Yes,On-site,No
EMP0093,46,Female,Human Resources,HR Officer,Abu Dhabi,Master's,2025-06-27,1.2,21,11200,3,3,Yes,On-site,No
EMP0094,45,Female,Sales,Account Manager,Abu Dhabi,High School,2021-10-30,4.9,20,20400,4,4,Yes,Hybrid,Yes
EMP0095,57,Non-binary,Finance,Finance Manager,Dubai,Master's,2013-03-19,13.7,33,23900,2,1,No,Hybrid,No
EMP0096,48,Female,Human Resources,HR Officer,Sharjah,Doctorate,2018-03-20,8.6,23,11100,3,3,No,On-site,No
EMP0097,43,Female,Sales,Sales Analyst,Dubai,Master's,2013-01-05,13.8,17,12600,3,2,Yes,Hybrid,No
EMP0098,57,Non-binary,IT,IT Manager,Abu Dhabi,Doctorate,2013-04-12,13.6,31,28200,5,4,Yes,On-site,No
EMP0099,53,Female,Human Resources,HR Analyst,Sharjah,Doctorate,2020-02-10,6.7,32,15800,1,3,No,Hybrid,No
EMP0100,50,Male,Operations,Operations Manager,Dubai,Master's,2014-12-27,11.8,25,18100,3,4,No,On-site,No
EMP0101,26,Non-binary,Human Resources,HR Analyst,Abu Dhabi,Master's,2024-12-24,1.8,1,8600,3,3,No,On-site,No
EMP0102,59,Male,IT,Software Developer,Abu Dhabi,High School,2013-05-11,13.5,38,21500,1,2,No,On-site,No
EMP0103,43,Non-binary,Operations,Operations Analyst,Dubai,Doctorate,2012-11-10,14.0,20,14500,3,4,No,On-site,No
EMP0104,53,Male,Human Resources,HR Manager,Dubai,High School,2026-04-12,0.4,30,20100,2,3,No,On-site,No
EMP0105,53,Male,Finance,Accounts Assistant,Dubai,Doctorate,2015-03-26,11.6,26,13600,1,3,No,On-site,No
EMP0106,23,Male,Sales,Sales Manager,Abu Dhabi,Master's,2026-03-03,0.5,0,15500,5,4,No,Hybrid,No
EMP0107,57,Male,Sales,Sales Analyst,Abu Dhabi,High School,2016-11-17,9.9,33,16000,4,3,No,On-site,No
EMP0108,44,Male,Marketing,Marketing Manager,Abu Dhabi,High School,2024-06-10,2.2,19,20100,5,3,No,On-site,No
EMP0109,43,Female,Sales,Sales Manager,Sharjah,Bachelor's,2017-12-05,8.9,22,20100,3,3,No,On-site,Yes
EMP0110,23,Male,Sales,Account Manager,Dubai,Doctorate,2026-01-01,0.7,0,15100,4,3,No,Remote,Yes
EMP0111,28,Prefer not to say,Marketing,Marketing Manager,Sharjah,Doctorate,2025-11-17,0.8,1,16000,2,3,No,Hybrid,Yes
EMP0112,30,Non-binary,Human Resources,HR Officer,Dubai,Doctorate,2022-03-15,4.6,7,10400,3,4,Yes,Hybrid,No
EMP0113,45,Male,Operations,Operations Coordinator,Sharjah,High School,2016-10-11,10.1,18,11100,3,3,No,On-site,No
EMP0114,29,Male,Operations,Team Leader,Dubai,High School,2022-11-23,3.8,8,11100,4,3,No,On-site,No
EMP0115,23,Prefer not to say,Marketing,Marketing Manager,Abu Dhabi,High School,2026-05-22,0.3,0,15400,5,3,No,On-site,No
EMP0116,39,Prefer not to say,Marketing,Content Specialist,Abu Dhabi,Diploma,2025-07-30,1.1,16,11400,3,2,No,Hybrid,No
EMP0117,44,Non-binary,IT,IT Manager,Dubai,High School,2015-10-10,11.1,17,24700,4,2,No,Hybrid,No
EMP0118,40,Prefer not to say,Finance,Accountant,Abu Dhabi,High School,2013-12-05,12.9,16,13000,2,3,No,Hybrid,No
EMP0119,44,Non-binary,Human Resources,HR Manager,Abu Dhabi,Master's,2012-05-31,14.5,19,17000,2,4,No,On-site,Yes
EMP0120,59,Non-binary,Operations,Operations Coordinator,Dubai,High School,2012-05-22,14.5,37,13500,3,4,No,On-site,No
EMP0121,52,Prefer not to say,Human Resources,HR Officer,Dubai,High School,2018-06-05,8.3,27,13800,2,4,No,On-site,No
EMP0122,49,Non-binary,Sales,Sales Executive,Abu Dhabi,Diploma,2017-05-08,9.5,27,13500,5,5,No,Hybrid,No
EMP0123,44,Prefer not to say,Marketing,Content Specialist,Sharjah,Diploma,2021-12-12,4.8,19,10000,4,3,No,On-site,No
EMP0124,25,Female,Operations,Operations Coordinator,Abu Dhabi,Master's,2024-07-10,2.2,2,7600,3,4,No,On-site,No
EMP0125,29,Female,Marketing,Marketing Analyst,Sharjah,Diploma,2023-09-16,3.0,2,11700,2,5,No,Remote,Yes
EMP0126,31,Non-binary,Finance,Financial Analyst,Dubai,Bachelor's,2019-03-24,7.6,8,13300,5,3,No,On-site,No
EMP0127,53,Female,Operations,Operations Coordinator,Dubai,High School,2023-01-21,3.7,27,12500,2,4,No,Hybrid,No
EMP0128,34,Prefer not to say,Human Resources,HR Analyst,Dubai,Master's,2020-08-09,6.2,7,12000,4,3,No,On-site,No
EMP0129,25,Non-binary,Finance,Finance Manager,Sharjah,Bachelor's,2026-08-16,0.1,0,18600,3,3,No,On-site,No
EMP0130,44,Prefer not to say,IT,Data Analyst,Sharjah,Master's,2014-11-19,12.0,19,18000,3,2,No,On-site,Yes
EMP0131,41,Prefer not to say,Sales,Account Manager,Sharjah,Master's,2020-01-19,6.8,16,18100,3,3,No,On-site,Yes
EMP0132,58,Female,Sales,Account Manager,Abu Dhabi,Diploma,2025-08-25,1.1,35,22000,3,5,No,On-site,No
EMP0133,46,Non-binary,Finance,Accountant,Sharjah,Doctorate,2025-09-13,1.0,23,12700,4,3,No,On-site,No
EMP0134,27,Female,Human Resources,HR Officer,Dubai,High School,2024-09-05,2.0,3,8500,4,3,Yes,Hybrid,No
EMP0135,51,Non-binary,Sales,Sales Analyst,Sharjah,Bachelor's,2017-02-05,9.8,26,16100,5,2,No,On-site,No
EMP0136,57,Female,Operations,Operations Manager,Sharjah,Master's,2016-08-17,10.2,34,19600,3,4,No,Hybrid,No
EMP0137,24,Female,Finance,Financial Analyst,Sharjah,High School,2026-01-18,0.7,0,12500,4,4,No,On-site,No
EMP0138,49,Female,Sales,Sales Executive,Sharjah,Diploma,2017-11-02,9.0,26,12200,4,3,No,Remote,No
EMP0139,56,Non-binary,Operations,Operations Analyst,Sharjah,Master's,2012-09-18,14.2,33,16300,3,5,No,On-site,No
EMP0140,38,Non-binary,Sales,Account Manager,Abu Dhabi,High School,2020-05-17,6.4,13,18100,4,4,No,On-site,No
EMP0141,46,Non-binary,Operations,Operations Manager,Sharjah,Master's,2019-05-06,7.4,19,17400,3,3,No,On-site,No
EMP0142,55,Male,Sales,Account Manager,Sharjah,Diploma,2014-10-31,12.0,32,21400,2,4,No,On-site,No
EMP0143,47,Prefer not to say,Human Resources,HR Assistant,Abu Dhabi,Diploma,2016-10-09,10.1,24,12400,4,1,No,Remote,No
EMP0144,39,Male,Finance,Accountant,Abu Dhabi,Diploma,2025-04-29,1.3,13,11100,4,3,No,Hybrid,Yes
EMP0145,52,Prefer not to say,Human Resources,HR Manager,Dubai,Doctorate,2020-06-25,6.2,30,19000,1,4,Yes,Remote,No
EMP0146,33,Non-binary,IT,Software Developer,Sharjah,Diploma,2025-06-17,1.2,6,15000,4,4,No,On-site,No
EMP0147,48,Non-binary,Sales,Sales Manager,Abu Dhabi,Diploma,2019-10-25,7.0,23,20300,4,3,Yes,On-site,No
EMP0148,42,Non-binary,IT,Software Developer,Dubai,Master's,2014-05-03,12.5,19,19100,1,4,No,On-site,Yes
EMP0149,28,Non-binary,Marketing,Marketing Analyst,Abu Dhabi,Doctorate,2025-02-16,1.6,2,11800,2,5,No,On-site,No
EMP0150,36,Male,IT,Data Analyst,Sharjah,Doctorate,2024-12-13,1.8,10,16900,3,3,No,On-site,No
EMP0151,41,Female,Sales,Account Manager,Abu Dhabi,Diploma,2015-09-04,11.2,14,17500,4,4,No,Hybrid,No
EMP0152,50,Male,Operations,Operations Manager,Sharjah,High School,2025-06-10,1.2,25,19800,4,3,Yes,On-site,Yes
EMP0153,43,Male,Human Resources,HR Manager,Sharjah,Master's,2025-04-11,1.4,17,16700,5,2,No,On-site,No
EMP0154,49,Male,Finance,Finance Manager,Sharjah,Master's,2018-09-20,8.1,22,21100,4,4,No,Hybrid,No
EMP0155,35,Male,Operations,Operations Analyst,Dubai,Master's,2026-07-28,0.1,8,9800,5,3,No,On-site,No
EMP0156,38,Female,Finance,Financial Analyst,Sharjah,High School,2024-05-02,2.4,16,16000,3,4,No,On-site,No
EMP0157,36,Non-binary,IT,IT Support Specialist,Dubai,Doctorate,2025-09-13,1.0,10,12400,3,3,No,On-site,No
EMP0158,36,Male,Finance,Accountant,Sharjah,Master's,2023-08-16,3.1,13,12900,2,3,Yes,Remote,No
EMP0159,24,Prefer not to say,Operations,Operations Manager,Dubai,Diploma,2024-12-08,1.8,1,15200,4,3,No,On-site,No
EMP0160,50,Prefer not to say,Finance,Financial Analyst,Abu Dhabi,High School,2014-11-09,12.0,29,17300,4,2,Yes,On-site,No
EMP0161,24,Male,Operations,Operations Analyst,Abu Dhabi,Diploma,2025-08-05,1.1,1,10900,4,5,Yes,Hybrid,No
EMP0162,21,Prefer not to say,Finance,Accountant,Dubai,Doctorate,2026-04-30,0.3,0,8900,4,4,No,Hybrid,No
EMP0163,45,Prefer not to say,Finance,Accountant,Abu Dhabi,Diploma,2015-05-31,11.4,21,13700,3,3,No,On-site,No
EMP0164,47,Non-binary,Finance,Accountant,Dubai,Diploma,2014-09-26,12.1,26,14000,4,1,No,Hybrid,No
EMP0165,45,Prefer not to say,Finance,Financial Analyst,Abu Dhabi,Diploma,2021-07-03,5.2,20,16300,4,4,Yes,Hybrid,No
EMP0166,31,Female,Marketing,Marketing Analyst,Sharjah,High School,2019-01-13,7.8,9,12600,2,5,No,Remote,No
EMP0167,29,Prefer not to say,Human Resources,HR Manager,Sharjah,Master's,2025-06-25,1.2,2,14400,1,3,No,Hybrid,No
EMP0168,55,Prefer not to say,Human Resources,HR Assistant,Dubai,High School,2018-01-05,8.8,30,10800,3,3,No,On-site,No
EMP0169,36,Male,Human Resources,HR Officer,Sharjah,Diploma,2013-08-13,13.2,14,10200,4,3,No,On-site,No
EMP0170,23,Prefer not to say,Finance,Accounts Assistant,Sharjah,Bachelor's,2024-07-20,2.2,2,8700,4,2,Yes,On-site,No
EMP0171,54,Female,Operations,Operations Coordinator,Dubai,Bachelor's,2021-11-09,4.9,33,13600,3,2,Yes,Remote,No
EMP0172,58,Non-binary,Human Resources,HR Officer,Abu Dhabi,Diploma,2018-04-06,8.5,36,13400,3,4,No,Hybrid,No
EMP0173,53,Prefer not to say,Marketing,Marketing Executive,Abu Dhabi,High School,2019-05-29,7.4,27,11100,3,4,No,Hybrid,No
EMP0174,49,Non-binary,Marketing,Marketing Analyst,Dubai,High School,2021-11-04,4.9,25,15700,5,3,No,Hybrid,No
EMP0175,30,Non-binary,Human Resources,HR Analyst,Dubai,Diploma,2019-12-22,6.8,6,10900,3,2,Yes,On-site,No
EMP0176,48,Non-binary,Human Resources,HR Officer,Abu Dhabi,High School,2014-12-05,11.9,24,13000,3,1,No,On-site,No
EMP0177,45,Male,Finance,Finance Manager,Abu Dhabi,Bachelor's,2024-11-06,1.8,18,22300,5,5,No,On-site,No
EMP0178,30,Prefer not to say,Finance,Finance Manager,Sharjah,Doctorate,2024-11-16,1.8,9,19600,3,3,Yes,On-site,No
EMP0179,27,Male,Sales,Sales Manager,Abu Dhabi,Bachelor's,2023-07-08,3.2,5,17100,3,4,No,On-site,No
EMP0180,51,Prefer not to say,Operations,Operations Analyst,Abu Dhabi,Master's,2022-11-28,3.8,28,14600,3,4,No,Hybrid,No
EMP0181,57,Prefer not to say,Finance,Accounts Assistant,Abu Dhabi,High School,2014-03-10,12.7,35,13800,4,4,No,On-site,No
EMP0182,29,Prefer not to say,IT,IT Manager,Sharjah,Master's,2025-01-21,1.7,3,22900,4,4,No,On-site,No
EMP0183,55,Male,Operations,Operations Manager,Sharjah,Doctorate,2019-01-08,7.8,34,21700,4,5,Yes,On-site,No
EMP0184,42,Male,Human Resources,HR Manager,Abu Dhabi,Bachelor's,2017-08-05,9.2,15,16200,2,3,No,Hybrid,No
EMP0185,58,Male,IT,IT Manager,Abu Dhabi,Bachelor's,2016-02-11,10.8,32,28500,5,3,No,Remote,No
EMP0186,34,Female,Finance,Finance Manager,Dubai,Bachelor's,2021-08-06,5.2,9,20400,2,4,No,On-site,Yes
EMP0187,31,Male,Marketing,Marketing Executive,Dubai,Master's,2024-01-18,2.7,5,7400,4,3,No,On-site,No
EMP0188,60,Female,IT,IT Support Specialist,Sharjah,High School,2017-02-21,9.7,38,17400,3,4,Yes,Hybrid,No
EMP0189,44,Prefer not to say,Operations,Operations Analyst,Sharjah,High School,2022-06-29,4.2,21,12500,3,5,No,Hybrid,No
EMP0190,50,Female,Finance,Accountant,Dubai,Bachelor's,2022-12-14,3.8,25,15700,4,3,No,On-site,No
EMP0191,44,Male,Human Resources,HR Officer,Sharjah,Diploma,2023-08-21,3.1,18,11400,3,2,No,On-site,No
EMP0192,29,Prefer not to say,IT,Software Developer,Sharjah,Doctorate,2023-04-13,3.4,7,16400,4,5,No,On-site,No
EMP0193,47,Non-binary,Marketing,Marketing Manager,Dubai,Doctorate,2016-05-02,10.5,21,20100,3,2,Yes,Hybrid,No
EMP0194,50,Female,Finance,Financial Analyst,Sharjah,Master's,2016-03-29,10.6,25,17000,2,2,No,Hybrid,No
EMP0195,48,Prefer not to say,Operations,Operations Analyst,Dubai,Diploma,2012-11-08,14.0,27,14100,3,5,No,On-site,No
EMP0196,60,Non-binary,Sales,Sales Analyst,Sharjah,Doctorate,2017-09-02,9.2,34,17600,2,3,Yes,On-site,No
EMP0197,39,Female,Sales,Sales Analyst,Abu Dhabi,Diploma,2014-08-16,12.2,16,13900,5,4,Yes,Remote,No
EMP0198,36,Prefer not to say,Marketing,Content Specialist,Abu Dhabi,Master's,2019-10-31,6.9,14,9300,4,4,No,Hybrid,No
EMP0199,46,Female,Human Resources,HR Assistant,Sharjah,Master's,2020-09-29,6.0,21,10600,3,3,No,Hybrid,No
EMP0200,25,Male,Marketing,Marketing Analyst,Sharjah,Master's,2025-12-12,0.8,0,9800,5,4,No,On-site,No
EMP0201,23,Male,Finance,Accounts Assistant,Sharjah,Bachelor's,2024-04-03,2.5,2,7700,5,2,No,Remote,No
EMP0202,26,Male,Sales,Sales Analyst,Abu Dhabi,High School,2026-03-16,0.5,0,9300,3,5,Yes,On-site,No
EMP0203,21,Female,Marketing,Marketing Executive,Abu Dhabi,Diploma,2026-01-21,0.7,0,6300,4,3,No,On-site,No
EMP0204,35,Male,IT,IT Support Specialist,Sharjah,Diploma,2024-10-07,1.9,11,11200,2,3,No,On-site,No
EMP0205,60,Male,Human Resources,HR Assistant,Dubai,High School,2023-02-24,3.6,34,12900,4,4,Yes,On-site,No
EMP0206,58,Non-binary,Sales,Sales Executive,Sharjah,High School,2018-07-23,8.2,32,13300,3,2,Yes,On-site,No
EMP0207,34,Prefer not to say,Marketing,Marketing Analyst,Abu Dhabi,High School,2020-04-08,6.5,9,11300,4,3,Yes,Hybrid,No
EMP0208,59,Non-binary,Sales,Sales Manager,Sharjah,Diploma,2015-06-22,11.3,38,21400,5,5,Yes,Hybrid,No
EMP0209,22,Prefer not to say,IT,IT Support Specialist,Abu Dhabi,Master's,2026-07-22,0.2,0,9900,2,5,No,On-site,No
EMP0210,38,Female,Human Resources,HR Officer,Abu Dhabi,Master's,2020-02-22,6.7,17,11800,5,5,Yes,On-site,No
EMP0211,24,Male,Marketing,Content Specialist,Dubai,High School,2026-02-23,0.5,2,7900,2,4,Yes,Hybrid,No
